content,uid,uname,addtime,likes
以为又是一个以网诈为噱头的片子，没想到很深入的讲了黑网贷的套路，对于新型的骗术进行了深挖，看得出制作团队是做过功课的,990128231,神乐是个好姑33凉,2023-11-14 16:53:59,583
谁还记得吕良伟到敬老院敬老,1413754557,行走的气氛客,2023-11-14 23:39:58,124
节奏很快，干脆利落，开头5分钟震惊50次，反派头子一点人性都没有，真是把人命当草芥啊,990883357,一个人的晴天-朱朝阳,2023-11-14 16:54:46,113
好家伙，为啥没让我早点看到这片子，上周被骗了好多。。。,990128233,极端病态分子,2023-11-14 16:49:35,63
吴春怡一句台词也没有[捂脸笑][捂脸笑][捂脸笑],2463624491,零℃度也醉,2023-11-14 19:34:43,23
很明显，那个龙少的戏被砍了，估计原本是要杀到东南亚，带上队友，一路突突突的，后期可能资金不够了，就只能搞成钢厂决斗2333,3930594455182528,流星的心愿🍀,2023-11-15 20:55:23,13
吕良伟都这么大年纪了身材管理还这么好，一看我那三十岁，二百多斤，还在那哐哐干饭的老公，真想把他饭盆给摔了！,990128227,匿名用户,2023-11-14 16:57:24,320
这个拍的比《孤注一掷》视角更开一些[大拇指]吕良伟演技还在[大拇指],2533078711,溶龢,2023-11-14 16:42:53,126
今年看了很多类似题材的片子，但这一部确实是最震撼最有视觉冲击力的，无论是剧情还是画面的拍摄都很直接很大胆。,990883869,Mandarin即天堂,2023-11-14 16:54:58,73
真实，真实，哈哈，这把那些网络主播拍的太真实了，这片子必须10分，拍的就是现在真实的社会，必须把现在的社会病给治了,1785790510,扯淡吗,2023-11-15 08:39:03,72
