content,uid,uname,addtime,likes
感觉比第一部还是差了那么一点点，第一部杀的比较爽，第二部没那么爽，特别是最后的以一敌百还带着一个拖油瓶，如果最后能杀的再干练一点，杀得特效再多点，应该会再加分![微笑][微笑][微笑],2304533431,用户895c63b7,2024-03-11 05:49:48,95
很温情的一部武侠片，画面很美，美的能勾起眼泪。从第一部到第二部成乙这个人物真的是越来越饱满了，感觉也有一些下一步的伏笔，希望谢苗能一直拍下去[大拇指],2150657118,阿Shao🎊,2024-02-13 14:25:06,96
大家好，我是演员谢苗。我主演的《目中无人：以眼还眼》正式上线了！我成瞎子眼盲，可心不盲！捉刀人再入江湖，听风刀在手，随我一起怒斩不公！,619671879426473,谢苗.,2024-02-10 09:44:38,10722
"谢苗应该是，唯一个还在坚持拍武侠电影的动作演员了。扶危济困，锄强扶弱[大拇指][大拇指][大拇指]
目中无人三的主题应该是为国为民，侠之大者了。",1341738656,行者夜空,2024-03-17 00:30:50,79
花了我9块钱，不能说值，只能说太便宜，比春节档的五六十的好太多，不期待第三部，只觉得第二部没上影院太可惜，第一步非常好，，给了我很大的期待，所以第二部没看之前就觉得不会差到哪里去，非常好，不期待第三部的原因是第二部太好了，支持，加油,1405971398,虚无雨雾,2024-02-14 23:27:02,85
非常满意的一部电影，或许以前这种电影不算什么，都是在现在绝对是精品,799367841712350,刻苦的白白🍀🙏,2024-02-13 11:41:52,503
感觉今年春节档的电影还不如苗哥这部,1367643861,嗑瓜子的小伟,2024-01-19 12:27:37,2547
电影绝对是精品，打斗场面也精彩，三观很正，正义凛然，情节紧凑，特别是小演员非常到位，这才是真正的好片子，比那些几十亿的营销电影好多了,2040461656,為伱沉默,2024-03-17 22:58:45,21
"一般不评分，除非真的好看
谢苗不愧是打星出生啊，招式漂亮，这才是真正的武侠，这些年所谓的武侠，情情爱爱格局太小了[捂脸笑]，成瞎子大义",1252902957,JulieLe,2024-02-13 21:58:01,53
好些人在说不如第一部，但是吧，故事完整性第二部比第一部强，并不是说打戏多就是武侠片，第二部也是很出彩的，两部都很可以了，大家别忘了这是网剧，不是院线 那些动不动就是上千万上亿的大制作,2062306102,吃饱好打怪兽,2024-02-18 21:54:44,18
