content,uid,uname,addtime,likes
我除夕前两天右眼皮狂跳，因为要长途开车回家过年我和我爸妈说好像有不好的预兆，然后除夕前一天就梦到我去世的爷爷了。好几年都没梦到他老人家。出发跑了五百公里左右，前面出车祸很严重定速巡航失控了120迈直接追尾我也不知道怎么反应过来的，车身一顿摇晃，你们敢相信120迈一个车道和前车刮过去车身没一点痕迹么？匪夷所思。要不是他老人家保佑，我想我已经不在了,1639539176,A」小凡,2024-02-23 01:46:03,31
我感觉很好看！里面讲的爱情！友情！父子情！母女情！都很有特点！渣土车司机得努力挽回！都值得一看！恐怖情节也很不错！前期把我看的鸡皮疙瘩起的一阵一阵的！我为这这个剧点赞[大拇指],1349894852,A℡乖乖,2024-02-19 21:50:36,4
她们不是姐妹，她是唯一一个选择不要灯泡的。她不愿意让姐姐一个人离开。,1482068056,fuvhgc,2024-02-16 14:46:47,1469
[捂脸笑][捂脸笑][捂脸笑]前面一些地方，我吓死了，大白天得冒冷汗，后面母女那里感动😹哭了，接着变成护士和她男友，哭得更惨，剧不错，如果里面再丰富些就完美了，总觉得有好几个地方还差一点，姐妹那里没有感动到，老爷爷和他儿子那里也没有感动到，货车司机一直想救人可他啥也没得到，有点可惜,1578444686,丫兒Zzz,2024-03-16 16:29:44,9
我再一次感叹拍摄手法处理带来的不同的感受 其实就是一场车祸带来的不同的家庭的痛苦  但是导演的叙事能力强化了情感与共鸣,2097216852,Whluck,2024-02-19 09:48:35,1
没看过原著，在抖音刷到过几个片段，原以为这种又恐怖又透露着温暖的剧情应该蛮有意思的。但是感觉拍出来的没有预想中那样好看，每条故事线都很平，就前面恐怖氛围营造的不错，其他就是纯煽情，不够新颖细腻。,1096924779,ly千屿,2024-02-19 19:20:30,2
这个是真的欠一张电影票啊，结尾那个正好补足了前面的铺垫，也很感动，他未婚妻一直在保护他[流泪],1674650440,死神少女SR,2024-02-16 15:43:38,450
我不求我儿女大富大贵，只求平平安安，健健康康，快快乐乐，开开心心。我问她们我需要为她们做些什么，她们的回答是这样的，妈妈我不需要你多能干，没有钱咱就不花了，书也可以不读，你打工也要照顾好自己就行。这是六七岁孩子的心声泪奔了朋友们,1652898450,╰╮ 如果一切没有发生过,2024-03-12 17:16:18,11
真的很喜欢男主说的那句话：“我又不是消失了，我只不过是从活在你身边，变成活在你心里”泪奔哇。货车司机也一直在救赎[大哭][大哭][大哭][大哭]总结：最可怕的不是失去，而是遗忘[流泪],1315416844,辣翅少女👏,2024-02-27 00:10:56,13
虽然是大货车司机的问题 但是他迫于生活的压力 而且在很努力救回每一个人啊 我真的哭死 ,4719295741408320,余恋温,2024-02-27 13:35:54,11
