content,uid,uname,addtime,likes
好空洞的一部电影....像是一根空心柱子....,2385947688,2385947688,2024-03-15 17:16:59,465
在座的的有一个算一个点赞的龙年行大运发大财[应援][应援][应援],1258000083,✘回忆✘,2024-03-15 15:38:18,2267
在座的各位父母身体健康平平安安[爱心],2213139581,铖铖哟,2024-03-15 16:29:41,411
往后每出一部港片好好珍惜吧，老戏骨都老了，像这样的港片出一部就少一部,1259756437,欣玥欣羽,2024-03-15 17:37:31,937
祝所有朋友新的年一帆风顺，二龙腾飞，三羊开泰，四季平安，五福临门，六六大顺，七星高照，八方来财，九九同心，十全十美，点赞的身体健康万事顺意！,4704962898663168,L77777.,2024-03-15 16:04:19,167
"票房不好是有道理的为什么永远都是坏人那么傻 好人那么厉害 有没有和我一样的看这样的片子希望坏人能赢
",2131089500,也許夜最合哭,2024-03-15 20:57:51,76
真好。结局和人性，故事节奏感强，场面火爆都是有爱，负责任的男人。10分,1104981534,@漫步云端@🤟,2024-03-15 18:41:36,79
"拍的挺好的啊，听说影院下线了，这么好的片子，不比那减肥百斤的强太多了

",1777228501,小贺2024,2024-03-15 21:44:50,362
竟然不需要钱买票，不像某些影片是穷怕了，线上还要买票看,1273253195,华少0769,2024-03-15 19:27:32,79
金手指还要钱呢，这个不要钱，[666][大拇指][大拇指][大拇指],2400342502,朵梨 ,2024-03-15 17:37:02,71
